Entity,Type,Superclass(es),Проживает,МожетИметь,НаходитсяНаТерритории,МожетЖитьНаТерритории,МожетПользоваться,МожетЗарегистрировать,МожетВладеть,Может,РегистрируетсяВ,Управляет,СостоитВ,МожетБытьГражданином,РаботаетВ,МожетОбратиться,РассчитываетсяПо,Получает,Оформляет,МожетРаботать,МожетСоответствовать,МожетРеализовать,МожетБыть,МожетУчаствовать,МожетСостоять,Имеет,Формирует,ОсуществляетсяПо,Финансирует,МожетПосетить,Предоставляет,ВходитВ,Включает,ТерриториальнаяЕдиница,СостоитИз,Является,owl:topObjectProperty,Вызов,КоличествоКвадратныхМетров,АдминистраторФедеральногоПроекта,БазовоеЗначение,ВремяФизическойАктивностьВНеделю,СрокПредоставленияРазрешенияНаСтроительства,НаименованиеДома,Стоимость,Статус,ХарактеристикаРезультата,АдресЦифровогоРесурса,ОбъемЖильяМногоквартирногоДома,ДатаОкончанияНациональногоПроекта,УровеньКонтроля,СтаршееДолжностноеЛицо,ДатаБазовогоЗначения,НаименованиеЗаболевания,ВидСчета,СтатусРеализацииПроекта,ДатаВнесенияИзминений,НаименованиеЖалобы,Себестоимость,ОтчетнаяДата,НаименованиеНациональногоПроекта,ДатаРождения,СуммаКредита,АдресЦифровогоРесурс,Учредитель,НоваяМодельМедицинскойОрганизацииОказывающейПервичнуюМедикоСанитарнуюПомощь,ГеографическиеКоординатыНаселенногоПункта,ВпервыеУстановленныеЗаболевания,ПроцентнаяСтавка,НаименованиеПроекта,НаличиеЦифровогоРесурса,НаличиеВозведенныхДомов,СрокКредитования,ЦельЗемельногоУчастка,НаименованиеЦифровогоРесурса,ТипЗаболевания,БлагоприятнаяСреда,ДатаНачалаНациональногоПроекта,Рекомендация,ШтатнаяЧисленностьМедицинскихРаботников,Выручка,КадастровыйНомер,НаличиеПаспортаЗдоровья,ДатаУстановленияЗаболевания,УдаленностьОтМедицинскойОрганизации,ИндексКачестваГородскойСреды,КоммерческиеРасходы,НепосредственныйРуководитель,СтоимостьКвартиры,ВключенВПрограммуФормированияСовременнойГородскойСреды,ОтсутствиеКурения,ДатаЗапросаЭвакуации,НаименованиеЗемельногоУчастка,ПрофильнаяГоспитализация,ПаспортныеДанныеБиологическойМатери,ДатаМедицинскогоОсмотра,Гражданство,ПоводКВызову-жалоба,ВидЗаболевания,Должность,БлагоустроенноеОбщественноеПространство,СреднесписочнаяЧисленность,СтатусЖилья,СогласиеНаЭвакуацию,РуководительНациональногоПроекта,АдминистративныеРасходы,ВидОрганизацииКультуры,ПричинаСмерти,ДатаНачалаФедеральногоПроекта,ФинансированиеНаОтчетнуюДату,ОКВЭД,ДатаОкончанияФедеральногоПроекта,ЗначениеРезультата,ВидКредита,НаименованиеЗадачи,МестоОказанияМедицинскойПомощи,ДатаПриемаНаРаботу,ТипЖалобы,ОбъемНепригодногоДляПроживанияЖилищногоФонда,НаличиеМобильнойМедицинскойБригады,ЭкспортНесырьевыхТоваров,ЗначениеНаОтчетнуюДату,НаименованиеГосударства,ВидЗаболенивания,АктивныйПользователь,НаименованиеФедеральногоОрганаИспольнительнойВласти,КраткоеНаименованиеНациональногоПроекта,Пол,Назначение,КоличествоПосещений,ВидМедицинскихУслугПоПрограммеОбязательногоМедицинскогоСтрахования,СпособДоставки,НаименованиеФедеральногоПроекта,НаличиеПрограммыОбязательногоМедицинскогоСтрахования,ЦельОбращенияВМедицинскуюОрганизацию,СрокЭкспертизыПроектнойДокументации,ОбъемРеализованныхБилетов,МестоОказанияМедицинскойУслуги,РуководительФедеральногоПроекта,ВидДома,НаименованиеГосударственногоОбразования,ОбщийОбъемФинансирования,Результат,ДатаЭвакуации,ДатаОказанияМедицинскойУслуги,УровеньПотребленияАлкоголяВНеделею,АдминистраторНациональногоПроекта,НаличиеЗаболевания,ТипУрегулированияЖалобы,НаименованиеЦели,НаименованиеОбщественногоПространства,ВидМедицинскойОрганизации,КураторНациональногоПроекта,ВидЭвакуации,ВидНормативноТехническиогоДокумента,ИсточникФинансирования,ВидМедицинскойУслуги,ТипПоказателя,МестоСмерти,ВидВозведенногоДома,НаименованиеНормативноТехническиогоДокумента,ВидЖилья,ПервичныйРынок,ОсновнойВидДеятельности,ГеографическиеКоординатыМедицинскойОрганизации,ДатаРегистрации,ЗанятостьВПроекте,СостояниеДома,КураторФедеральногоПроекта,ЦельОбращенияВЦентрЗдоровья,СрокРеализации,ЧисленностьНаселения,ДатаСмерти,УровеньПотребленияСоли,НомерПользователя,НаимнованиеПроцедурыУслуги,НаименованиеНаселенногоПункта,ПроцедураУслугаВЭлектронномВиде,Возраст,ДатаПринятияДокумента,НаименованиеПоказателя,ОтветственныйИсполнитель,ПоказанияБольного,ТипВыбывшегоБольного,РольВПроекте,СвязьСГосударственнымиПрограммамиРоссийскойФедерации,ПолноеНаименованиеНациональногоПроекта,КоличествоКвартир,ВидРегистрацииНаПриемКВрачу,owl:topDataProperty,definition,definitionSource,label
ЖилищныйФонд,Class,Объект,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Совокупность всех жилых помещений, находящихся на территории Российской Федерации..'","''Жилищный кодекс Российской Федерации' от 29.12.2004 N 188-ФЗ
(ред. от 06.02.2020)'",Жилищный Фонд
МногоквартирныйЖилойДом,Class,ЖилойДом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Жилой дом, в котором квартиры имеют общие внеквартирные помещения и инженерные системы..'","'Методическое пособие по содержанию и ремонту жилищного фонда. МДК 2-04.2004
(утв. Госстроем России)'",Многоквартирный Жилой Дом
ГосударственноеОбразование,Class,СубъектПрава,,'НаселенныйПункт'	'МуниципальноеОбразование',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Государственное Образование
НедвижимоеИмущество,Class,Объект,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Земельные участки, участки недр, обособленные водные объекты и все, что прочно связано с землей, то есть объекты, перемещение которых без несоразмерного ущерба их назначению невозможно, в том числе леса, многолетние насаждения, здания, сооружения, трубопроводы, линии электропередачи, космические объекты, а также предприятия как имущественные комплексы;'","'Протокол между Правительством Российской Федерации и Правительством Республики Беларусь от 23.03.2007 'О порядке взимания косвенных налогов при выполнении работ, оказании услуг''",Недвижимое Имущество
ЖилойДом,Class,Дом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'ЖилищныйФонд',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'признается индивидуально-определенное здание, которое состоит из комнат, а также помещений вспомогательного использования, предназначенных для удовлетворения гражданами бытовых и иных нужд, связанных с их проживанием в таком здании'",'Жилищный кодекс Российской Федерации' от 29.12.2004 N 188-ФЗ (ред. от 06.02.2020)',Жилой Дом
ПроектСозданияКомфортнойГородскойСреды,Class,Проект,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Под проектом создания комфортной городской среды понимается комплекс мероприятий по благоустройству одной или нескольких взаимосвязанных территорий общего пользования муниципальных образований различного функционального назначения (площадей, набережных, улиц, пешеходных зон, скверов, парков, иных территорий), направленных на улучшение архитектурного облика поселений, повышение уровня санитарно-эпидемиологического и экологического благополучия жителей в малых городах и исторических поселениях, в том числе мероприятий по созданию и восстановлению дорожных покрытий, озеленению, созданию и размещению малых архитектурных форм, восстановлению или улучшению фасадов, созданию инфраструктуры, обслуживающей общественное пространство.'","'Постановление Правительства РФ от 07.03.2018 N 237 (ред. от 29.01.2020)
'Об утверждении Правил предоставления средств государственной поддержки из федерального бюджета бюджетам субъектов Российской Федерации для поощрения муниципальных образований - победителей Всероссийского конкурса лучших проектов создания комфортной городской среды''",Проект Создания Комфортной Городской Среды
Дом,Class,НедвижимоеИмущество,,,,,,,,,,,,,,,,,,,'НормативноТехническийДокумент',,,,,'ИсчерпывающийПереченьАдминистративныхПроцедурВСфереЖилищногоСтроительства'	'ПроектнаяДокументация'	'РазрешениеНаСтроительство',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'здание, предназначенное для постоянного проживания или временного пребывания людей в зависимости от функционального назначения и для выполнения различного вида производственных процессов'","'Приказ Росстата от 13.04.2009 N 61 (ред. от 30.04.2009) 'Об утверждении переписных документов Всероссийской переписи населения 2010 года' (вместе с 'Инструкцией по составлению списков домов в городских и сельских населенных пунктах и организационных планов проведения Всероссийской переписи населения 2010 года для территориальных органов Росстата', 'Инструкцией по составлению списков домов в городских и сельских населенных пунктах для регистратора', 'Инструкцией по составлению организационного плана проведения Всероссийской переписи населения 2010 года в районе, городе', 'Инструкцией по эксплуатации подсистемы подготовки к проведению Всероссийской переписи населения 2010 года для составления списков домов и оргпланов')'",Дом
НормативноТехническийДокумент,Class,Документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'документ, устанавливающий требования к объектам стандартизации, обязательный для исполнения в определ. областях деятельности, разработанный в установл. порядке и утверждённый компетентным органом.'",'Большой энциклопедический политехнический словарь',Нормативно Технический Документ
ОбщественноеПространство,Class,ЗемельныйУчасток,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'свободные от транспорта территории общего пользования, в том числе пешеходные зоны, площади, улицы, скверы, бульвары, а также наземные, подземные, надземные части зданий и сооружений (галереи, пассажи, атриумы и другие), специально предназначенные для использования неограниченным кругом лиц в целях досуга, проведения массовых мероприятий, организации пешеходных потоков на территориях объектов массового посещения общественного, делового назначения, объектов пассажирского транспорта..'",'Закон г. Москвы от 27.04.2005 N 14 'О Генеральном плане города Москвы (основные направления градостроительного развития города Москвы)'',Общественное Пространство
ИндивидуальныйПредприниматель,Class,ФизическоеЛицо,,,,,,,,,,,,,,,,,,,,,,,'ЕдиныйРеестрСубъектовМалогоИСреднегоПредпринимательства',,'БухгалтерскаяОтчетность',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'физические лица, зарегистрированные в установленном порядке и осуществляющие предпринимательскую деятельность без образования юридического лица, главы крестьянских (фермерских) хозяйств. Физические лица, осуществляющие предпринимательскую деятельность без образования юридического лица, но не зарегистрировавшиеся в качестве индивидуальных предпринимателей в нарушение требований гражданского законодательства Российской Федерации, при исполнении обязанностей, возложенных на них настоящим Кодексом, не вправе ссылаться на то, что они не являются индивидуальными предпринимателями;'","''Налоговый кодекс Российской Федерации (часть первая)' от 31.07.1998 N 146-ФЗ (ред. от 27.12.2019) (с изм. и доп., вступ. в силу с 01.01.2020)'",Индивидуальный Предприниматель
